ID,Hanja,Meaning,Eum,Filename,English_Prompt
181,禮,예도,례,hanja_manner.png,"Two cute characters bowing politely to each other, with a soft glow of respect between them. The entire scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
182,路,길,로,hanja_road_2.png,"A winding dirt path made of clay through a green meadow, with cute little footprints on it. The entire path is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
183,流,흐를,류,hanja_flow.png,"A gentle stream of water made of blue clay, flowing smoothly over rounded pebbles. The entire stream is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
184,理,다스릴,리,hanja_reason.png,"A cute character with a thinking pose, surrounded by floating gears and logic symbols connecting together. The entire character and symbols are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
185,林,수풀,림,hanja_forest.png,"A cozy cluster of rounded, pastel-colored trees hugging each other closely, forming a little forest. The entire group of trees is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
186,面,낯,면,hanja_face.png,"A cute, round clay face character with rosy cheeks and a gentle smile, looking directly forward. The entire face is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
187,命,목숨,명,hanja_life.png,"A tiny, glowing clay sprout representing life, being cradled gently by large, protective clay hands. The entire scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
188,目,눈,목,hanja_eye.png,"A large, wide-open eye made of clay with a sparkling pupil, looking curiously at the viewer. The entire eye is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
189,問,물을,문,hanja_ask.png,"A cute character with a curious expression, with a large, bubbly pastel question mark floating above its head. The entire character and question mark are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
190,物,물건,물,hanja_thing.png,"A pile of assorted, colorful, cute clay shapes and toy objects, like blocks, balls, and stars. The entire pile is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
191,米,쌀,미,hanja_rice.png,"An overflowing bowl of plump, shiny white rice grains made of clay, with a pair of chopsticks sticking out. The entire bowl is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
192,美,아름다울,미,hanja_beautiful.png,"A single elegant, rounded flower character in full bloom, adorned with sparkling dew drops and a tiny butterfly. The entire flower is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
193,朴,순박할,박,hanja_simple.png,"A simple, unadorned, rustic clay pot with a small, cute wildflower growing inside it. The entire pot and flower are centered and fit completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
194,半,반,반,hanja_half.png,"A single large, perfectly round fruit, like an apple, split neatly in half to show the cute inside with seeds. Both halves are centered and fully contained within the frame. Soft matte clay and ceramic mixed texture. 3D render."
195,反,돌이킬,반,hanja_reverse.png,"A mirror reflecting a cute character, but the reflection is doing the opposite action or facing the other way. The entire mirror and character are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
196,放,놓을,방,hanja_release.png,"A cute clay hand gently opening to release a glowing, pastel-colored butterfly into the air. The entire hand and butterfly are centered and fit completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
197,番,차례,번,hanja_number.png,"A large, rounded ticket or tag with a cute number '1' and a star printed on it in pastel colors representing a turn. The entire tag is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
198,별,다를,별,hanja_separate.png,"Two cute clay characters waving goodbye to each other as they walk down two different paths. The entire scene is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
199,병,병,병,hanja_sickness.png,"A poor little character made of clay looking unwell, tucked into bed with a thermometer in its mouth and an ice pack. The entire bed scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
200,보,걸음,보,hanja_step.png,"A trail of cute, rounded footprints made of clay, showing a walking path. The entire trail is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
201,보,갚을,보,hanja_report.png,"A cute newspaper or scroll made of clay with a big headline, being delivered by a little clay bird. The entire scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
202,복,옷,복,hanja_clothing.png,"A neat stack of folded, colorful clothes made of soft clay, including shirts, pants, and socks. The entire stack is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
203,복,복,복,hanja_fortune.png,"A plump, smiling lucky pouch (bokjumoni) character overflowing with tiny gold coins and good luck charms. The entire character and coins are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
204,본,근본,본,hanja_root_book.png,"An open book made of clay with a tree growing out of the pages, showing its roots going deep into the book. The entire book and tree are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
205,부,떼,부,hanja_department.png,"A building floor plan made of clay, divided into different sections or departments with tiny labels. The entire plan is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
206,사,일,사,hanja_work.png,"A busy clay desk scene with a tiny laptop, a stack of documents, and a coffee mug. The entire desk scene is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
207,사,부릴,사,hanja_use.png,"A cute character using a variety of tiny, rounded tools like a hammer, a wrench, and a paintbrush. The entire character and tools are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
208,사,섬길,사,hanja_serve.png,"A cute clay character in a small uniform respectfully serving tea on a tray with a bow. The entire character is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
209,사,죽을,사,hanja_die.png,"A peaceful, sleeping clay character surrounded by soft, fading light and gently wilted flowers, representing a peaceful end. The entire scene is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
210,산,셈,산,hanja_calculate.png,"A cute clay calculator with big, rounded buttons and numbers displayed on the screen. The entire calculator is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
211,산,낳을,산,hanja_birth.png,"A cute mother bird character made of clay sitting in a nest with newly hatched chicks and eggs. The entire nest scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
212,상,서로,상,hanja_mutual.png,"Two cute clay characters looking at each other and shaking hands warmly, with a connection line between them. The entire pair is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
213,상,형상,상,hanja_condition.png,"A clipboard with a checklist made of clay, showing checkmarks for 'good condition' and a happy face. The entire clipboard is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
214,색,빛,색,hanja_color.png,"An artist's palette made of clay with big globs of bright, rainbow-colored paints and a brush. The entire palette is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
215,석,자리,석,hanja_seat.png,"A comfortable, plump armchair made of clay, with a soft cushion, inviting someone to sit. The entire armchair is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
216,선,줄,선,hanja_line.png,"A long, winding piece of colorful string or yarn made of clay, forming loops and patterns. The entire string is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
217,선,뽑을,선,hanja_choose.png,"A cute character standing in front of three different doors, looking thoughtful about which one to pick. The entire scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
218,설,혀,설,hanja_tongue.png,"A playful face with a cute, rounded tongue sticking out, ready to taste something delicious. The entire face is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
219,성,성,성,hanja_castle.png,"A magnificent fairytale castle made of pastel clay, with turrets, flags, and a drawbridge. The entire castle is centered and fits fully within the frame with adequate white space. Soft matte clay and ceramic mixed texture. 3D render."
220,성,성,성,hanja_surname.png,"A decorative clay plaque with a cute family crest and a stylized surname written in rounded letters. The entire plaque is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
221,세,세상,세,hanja_world.png,"A cute, rounded clay globe with tiny diverse people characters standing around it holding hands. The entire globe and people are centered and fit fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
222,세,씻을,세,hanja_wash.png,"A bubbly scene with a cute character washing their hands in a sink full of foam and rubber ducks. The entire sink scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
223,소,꺼질,소,hanja_extinguish.png,"A cute firefighter character using a hose to put out a small, playful-looking fire made of clay flames. The entire scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
224,속,묶을,속,hanja_bundle.png,"A bundle of colorful sticks or flowers tied together securely with a cute ribbon made of clay. The entire bundle is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
225,속,빠를,속,hanja_fast.png,"A blur of motion with a cute character running incredibly fast, leaving speed lines behind. The entire character and motion blur are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
226,손,손자,손,hanja_grandchild.png,"A heartwarming scene of a tiny, cute grandchild character being hugged by loving grandparent characters. The entire group is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
227,송,보낼,송,hanja_send.png,"A cute postal character putting a letter into a mailbox, with a winged envelope icon flying away. The entire scene is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
228,수,닦을,수,hanja_repair.png,"A cute mechanic character fixing a broken toy car with tools, making it look new again. The entire scene is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
229,수,받을,수,hanja_receive.png,"A cute character with open hands, happily catching a falling gift box with a bow. The entire character and gift are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
230,수,머리,수,hanja_leader.png,"A prominent, stylized head and neck of a cute character wearing a small crown, representing a leader. The entire head is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
231,숙,잘,숙,hanja_sleep.png,"A cute, cozy clay cottage at night with smoke from the chimney and a sleeping 'Zzz' icon above it. The entire cottage is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
232,순,순할,순,hanja_obey.png,"A line of cute ducklings following their mother duck in a perfect, orderly row. The entire line of ducks is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
233,술,재주,술,hanja_art_skill.png,"An artist's palette with colorful clay paints and brushes, next to a small easel with a cute painting. The entire palette and easel are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
234,습,익힐,습,hanja_learn.png,"A cute character diligently practicing writing on a clay tablet, with a stack of finished tablets beside it. The entire scene is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
235,승,이길,승,hanja_win.png,"A cheerful character holding a large gold trophy cup, standing on a winner's podium with confetti. The entire podium scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
236,시,처음,시,hanja_start.png,"A starting line on a track with a cute character in a ready pose, and a 'START' banner above. The entire scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
237,시,저자,시,hanja_market.png,"A bustling clay market stall scene with tiny cute vendors, produce, and a striped awning. The entire market stall is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
238,시,보일,시,hanja_show.png,"A cute character standing on a stage, pulling back a curtain to reveal a surprise object behind it. The entire stage scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
239,신,믿을,신,hanja_trust.png,"A scene of two cute hands performing a pinky promise, with a glowing magical bond forming around their fingers. The entire interaction is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
240,신,몸,신,hanja_body.png,"A simple, rounded clay figure representing a human body, with arms and legs outstretched in a healthy pose. The entire figure is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
241,신,새,신,hanja_new.png,"A shiny, brand new toy car made of clay emerging from a gift box with a big bow. The entire car and box are centered and fit completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
242,신,귀신,신,hanja_spirit.png,"A whimsical, translucent ghost or spirit character made of glowing clay, with a friendly smile. The entire character is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
243,실,잃을,실,hanja_lose.png,"A sad cute character looking at an empty treasure chest, with a tear falling and a 'lost' symbol. The entire scene is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
244,애,사랑,애,hanja_love.png,"Two cute, chubby characters embracing tightly, forming a large heart shape between them. The entire pair and heart are centered and fully visible within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
245,야,밤,야,hanja_night.png,"A peaceful night sky scene made of dark blue clay, with a sleeping crescent moon and twinkling stars. The entire scene is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
246,야,들,야,hanja_field.png,"A rolling green meadow scene made of soft clay curves, dotted with tiny wildflowers and a cute little barn. The entire landscape is centered and fully contained in the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
247,약,약할,약,hanja_weak.png,"A cute, wobbly character made of soft, delicate clay, looking like it might fall over but supported by a tiny friend. The entire scene is centered and fully contained in the frame. Soft matte clay and ceramic mixed texture. 3D render."
248,양,큰바다,양,hanja_ocean.png,"A vast, blue ocean scene made of wavy clay, with a cute little boat sailing and a friendly whale. The entire scene is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
249,양,볕,양,hanja_sunlight.png,"A cheerful, round sun character radiating soft, warm, wavy rays of light that look like pastel ribbons. The entire sun and its rays are centered and fit completely within the frame without being cut off. Soft matte clay and ceramic mixed texture. 3D render."
250,어,고기,어,hanja_fish.png,"A cheerful, chubby goldfish character with big bubbly eyes, swimming happily in invisible water. The entire fish is visible and centered within the frame, with white space around it. Soft matte clay and ceramic mixed texture. 3D render."
251,억,억,억,hanja_hundred_million.png,"A giant sack overflowing with countless tiny golden clay coins, with a cute '1억' sign. The entire sack is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
252,업,업,업,hanja_business.png,"A busy office scene made of clay, with cute characters working at desks with computers and phones. The entire office scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
253,열,더울,열,hanja_hot.png,"A cute thermometer made of clay with the red liquid rising high, next to a radiating sun icon. The entire thermometer and sun are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
254,영,꽃다울,영,hanja_excellent.png,"A beautiful, large clay flower in full bloom with a shiny medal ribbon attached to its stem representing excellence. The entire flower and medal are centered and fit fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
255,영,길,영,hanja_eternal.png,"An infinity symbol made of glowing, intertwined pastel clay loops, floating in the air. The entire symbol is centered and fits completely within the frame with adequate white borders. Soft matte clay and ceramic mixed texture. 3D render."
256,온,따뜻할,온,hanja_warm.png,"A cozy mug of hot cocoa made of clay, with steam curling up in heart shapes and a warm glow. The entire mug is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
257,용,날랠,용,hanja_brave.png,"A little superhero character with a cape, standing fearlessly in front of a cute, harmless-looking monster. The entire scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
258,용,쓸,용,hanja_use.png,"A cute character holding a multi-tool, demonstrating its usefulness by fixing a toy. The entire character and toy are centered and fit fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
259,운,운전할,운,hanja_transport.png,"A cheerful little truck made of clay, carrying a pile of colorful, rounded packages in its bed. The entire truck is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
260,원,멀,원,hanja_far.png,"A cute character looking through a telescope at a tiny, distant mountain range on the horizon. The entire character and view are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
261,원,집,원,hanja_institute.png,"A grand but cute building with columns and a dome, representing a school or hospital, made of soft clay. The entire building is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
262,원,원할,원,hanja_wish.png,"An adorable character with closed eyes, blowing out a dandelion puff whose seeds turn into tiny glowing stars. The entire scene is centered and fully contained in the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
263,유,말미암을,유,hanja_origin_path.png,"A clay pathway originating from a large, glowing source stone icon, leading outwards. The entire path and source are centered and fit completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
264,유,기름,유,hanja_oil.png,"A cute, rounded bottle filled with golden, viscous oil, with a glistening drop about to fall from the spout. The entire bottle is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
265,육,기를,육,hanja_nurture.png,"A parent character made of clay gently watering a small plant and feeding a baby character. The entire scene is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
266,은,은,은,hanja_silver.png,"A shiny, metallic silver coin or ingot made of clay, reflecting the light with a soft gleam. The entire coin is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
267,음,소리,음,hanja_sound.png,"An old-fashioned gramophone made of clay, with colorful sound waves and musical notes coming out of the horn. The entire gramophone is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
268,의,옷,의,hanja_clothes.png,"A cute little t-shirt and pair of overalls made of soft clay, hanging on a tiny clothesline. The entire clothesline and clothes are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
269,의,뜻,의,hanja_meaning.png,"A large, bubbly pastel lightbulb character with a bright idea, glowing with a soft, warm light. The entire lightbulb is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
270,의,의원,의,hanja_doctor.png,"A friendly doctor character made of clay, wearing a white coat and stethoscope, holding a lollipop. The entire doctor is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
271,인,끌,인,hanja_pull.png,"A cute character exerting effort to pull a large, wheeled toy wagon loaded with blocks. The entire character and wagon are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
272,인,알,인,hanja_recognize.png,"A cute character looking at a photo and pointing with a look of recognition and a lightbulb above its head. The entire character and elements are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
273,자,놈,자,hanja_person.png,"A generic but cute human character figure made of clay, standing with a friendly posture. The entire figure is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
274,장,마당,장,hanja_yard.png,"A wide, open playground made of soft clay, with swings, a slide, and a sandbox all in rounded shapes. The entire playground is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
275,장,길,장,hanja_long.png,"A very long, stretching dachshund dog character made of clay, extending across the frame. The entire dog is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
276,재,재주,재,hanja_talent.png,"A stage with a spotlight on a cute character performing a special skill, like juggling or playing an instrument. The entire stage scene is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
277,재,재목,재,hanja_material.png,"A pile of various raw materials made of clay, such as wood logs, stone blocks, and fabric rolls. The entire pile is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
278,저,낮을,저,hanja_low.png,"A cute clay character crouching down very low to the ground, looking under a small mushroom. The entire scene is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
279,적,붉을,적,hanja_red.png,"A large, intensely red, heart-shaped clay object glowing warmly. The entire red heart is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
280,전,온전할,전,hanja_whole.png,"A complete, round pizza made of clay with all the toppings, with not a single slice missing. The entire pizza is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
281,전,펼,전,hanja_unfold.png,"A rolled-up clay scroll being unrolled by two cute hands to reveal a picture inside. The entire scroll and hands are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
282,전,싸움,전,hanja_war.png,"A playful scene of two groups of cute toy soldiers made of clay throwing soft, pastel balls at each other. The entire scene is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
283,정,뜰,정,hanja_garden.png,"A charming, walled garden filled with giant, rounded clay flowers, a tiny pond, and a cute bench. The entire garden is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
284,정,정사,정,hanja_politics.png,"A cute, round building representing a town hall, with a tiny flag and a scroll icon in front. The entire building is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
285,정,가지런할,정,hanja_tidy.png,"A perfectly organized desk scene made of clay, with books, pens, and toys all in their neat places. The entire desk is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
286,제,차례,제,hanja_sequence.png,"A line of cute, numbered toy cars or blocks (1, 2, 3) queuing up in perfect order. The entire line is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
287,제,제목,제,hanja_topic.png,"A large, open book made of clay with a prominent title banner across the top pages and some cute illustrations. The entire book is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
288,종,마칠,종,hanja_finish.png,"A finish line tape being broken by a cheerful character, with a 'FINISH' sign. The entire scene is centered and fits completely within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
289,주,임금,주,hanja_master.png,"A cute character wearing a crown and sitting on a throne, holding a scepter, representing a ruler. The entire character and throne are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
290,주,살,주,hanja_dwell.png,"A cozy, plump little house with a smoking chimney and a welcoming light in the window. The entire house is centered and fully contained within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
291,중,무거울,중,hanja_heavy.png,"A tiny, cute character struggling but smiling as it tries to lift a giant, rounded clay weight. The entire character and weight are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
292,지,땅,지,hanja_ground.png,"A cross-section of clay ground showing layers of soil, roots, and a little mole burrow. The entire ground section is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
